artistID,name,0
Lady Gaga,89,611
Britney Spears,289,522
Rihanna,288,484
The Beatles,227,480
Katy Perry,300,473
Madonna,67,429
Avril Lavigne,333,417
Christina Aguilera,292,407
Muse,190,400
Paramore,498,399
Beyoncé,295,397
Radiohead,154,393
Coldplay,65,369
Ke$ha,466,362
Shakira,701,319
P!nk,302,305
The Killers,229,304
Black Eyed Peas,306,304
Kylie Minogue,55,298
Miley Cyrus,461,286
Depeche Mode,72,282
Linkin Park,377,280
Michael Jackson,157,266
Kelly Clarkson,291,260
Pink Floyd,163,258
Nirvana,234,258
Glee Cast,679,249
Arctic Monkeys,207,248
Taylor Swift,344,247
Lily Allen,298,243
Placebo,173,242
Mariah Carey,257,241
Green Day,230,236
Kings of Leon,228,235
The Pussycat Dolls,349,233
The Cure,159,229
Evanescence,378,226
Metallica,707,224
Red Hot Chili Peppers,220,222
30 Seconds to Mars,486,216
Oasis,533,210
Jennifer Lopez,299,209
Queen,959,208
Eminem,475,204
David Bowie,599,198
Led Zeppelin,1412,196
Amy Winehouse,903,195
U2,511,185
The Strokes,424,184
Ashley Tisdale,325,182
System of a Down,198,181
AC/DC,706,180
Iron Maiden,917,177
Franz Ferdinand,1090,173
Björk,1098,172
Hilary Duff,318,169
Foo Fighters,982,164
The Smiths,429,162
Guns N' Roses,1249,161
Nelly Furtado,310,161
Leona Lewis,294,160
Florence + the Machine,689,159
My Chemical Romance,209,157
David Guetta,328,155
Adam Lambert,544,153
Sigur Rós,418,153
3OH!3,464,152
Daft Punk,56,151
blink-182,412,150
Alicia Keys,301,148
Gwen Stefani,525,145
MGMT,1400,143
Selena Gomez & the Scene,686,143
Joy Division,441,141
Maroon 5,538,140
Rammstein,1104,140
Justin Timberlake,329,140
The Doors,868,139
Nine Inch Nails,233,138
Panic! At the Disco,1246,135
Kanye West,331,134
Death Cab for Cutie,217,134
Marilyn Manson,7,133
The Rolling Stones,735,131
Alanis Morissette,316,131
Fall Out Boy,540,130
The Kooks,1048,130
Keane,182,129
Cheryl Cole,352,128
Yeah Yeah Yeahs,425,128
Arcade Fire,199,128
Demi Lovato,681,128
Ashlee Simpson,293,128
The Veronicas,680,126
Black Sabbath,1369,126
Adele,1934,126
Interpol,225,125
Lindsay Lohan,523,125
Gorillaz,88,124
The Smashing Pumpkins,436,124
Pearl Jam,614,124
The Pretty Reckless,704,123
Enrique Iglesias,161,121
Avenged Sevenfold,1672,118
Pixie Lott,528,118
Queens of the Stone Age,226,115
Snow Patrol,1375,115
Blur,203,114
Slipknot,1044,112
Nickelback,966,112
Massive Attack,238,111
Duran Duran,51,111
Crystal Castles,757,110
t.A.T.u.,972,108
Bob Dylan,212,108
New Order,59,107
The White Stripes,709,107
Portishead,81,107
Cobra Starship,324,107
Ciara,314,106
Nicole Scherzinger,543,105
Megadeth,918,104
Ramones,1513,104
Timbaland,907,104
Nightwish,930,103
Justin Bieber,458,100
Within Temptation,518,98
a-ha,187,97
R.E.M.,715,96
Fergie,320,96
Korn,517,96
Elvis Presley,1244,95
Los Hermanos,439,95
Incubus,1116,95
Backstreet Boys,455,95
Pet Shop Boys,1001,93
Regina Spektor,3057,92
The Clash,857,92
The Who,562,92
Usher,468,91
Mika,1243,91
Good Charlotte,536,91
Aerosmith,2346,91
Janet Jackson,285,91
Three Days Grace,488,89
La Roux,526,89
Kasabian,969,89
Owl City,691,89
Jordin Sparks,290,89
Weezer,1239,88
Nicki Minaj,1037,87
Pitty,542,87
Simple Plan,481,86
Judas Priest,1358,86
Robyn,2521,85
Moby,70,85
Bloc Party,210,85
The Offspring,1406,85
Bon Jovi,951,84
Beck,206,84
Destiny's Child,913,83
Sum 41,1186,83
Garbage,172,83
Jay-Z,1613,83
Boys Like Girls,1043,82
KISS,2343,82
OneRepublic,191,82
Cansei de Ser Sexy,3200,82
Goldfrapp,58,82
Jonas Brothers,321,82
Céline Dion,265,82
Bullet for My Valentine,500,82
The xx,703,82
Rise Against,808,81
Cascada,386,81
Slayer,841,81
Natasha Bedingfield,311,81
Sugababes,296,81
The Ting Tings,546,80
Alice in Chains,854,80
Duffy,97,80
M.I.A.,2083,80
Kate Nash,430,80
Tool,1131,80
Chris Brown,327,79
Belle and Sebastian,618,79
John Mayer,683,79
Papa Roach,497,78
The Fray,1377,78
Vampire Weekend,1390,78
Robbie Williams,155,77
Klaxons,432,77
All Time Low,687,77
Ellie Goulding,548,77
Pixies,859,77
A Day to Remember,816,77
Deep Purple,1372,76
Carrie Underwood,1459,76
Dream Theater,920,76
The Prodigy,1099,76
Vanessa Hudgens,908,76
Scorpions,176,76
The All-American Rejects,403,75
Kaiser Chiefs,716,75
Air,53,75
Beirut,196,75
Elliott Smith,615,75
Keri Hilson,317,75
Johnny Cash,718,74
RBD,646,73
HIM,504,73
ABBA,1464,73
Jack Johnson,366,73
The Used,537,73
Pantera,843,72
Bruno Mars,1042,72
Bring Me The Horizon,779,72
Motörhead,1360,71
Porcupine Tree,152,71
Röyksopp,64,71
Flyleaf,499,70
The Cranberries,166,70
Jimi Hendrix,1639,70
Hurts,1379,70
Jessie J,1032,70
Travis,221,69
Breaking Benjamin,1854,69
Yann Tiersen,1109,69
Lifehouse,1470,69
Taio Cruz,531,69
Escape The Fate,1180,69
Colbie Caillat,342,69
Phoenix,1106,69
Boards of Canada,748,69
McFly,1047,69
Kerli,1034,68
Little Boots,532,68
Opeth,188,68
Rage Against the Machine,1974,68
In Flames,503,67
Deftones,512,67
Anahí,802,67
Girls Aloud,906,67
The Velvet Underground,863,67
IAMX,1075,66
Sophie Ellis-Bextor,535,66
Ozzy Osbourne,724,66
Aphex Twin,603,65
Creedence Clearwater Revival,1415,65
Belinda,790,65
Jessica Simpson,465,64
John Lennon,733,64
Fresno,1045,63
Tori Amos,961,63
BoA,2094,63
Kelly Rowland,332,62
A Perfect Circle,1118,62
Marina & the Diamonds,690,62
James Blunt,184,61
Legião Urbana,714,61
Feist,2277,61
B.o.B,1455,61
Morrissey,2531,60
Spice Girls,2523,60
The Saturdays,323,60
Disturbed,978,60
Jason Mraz,355,60
JoJo,326,60
Sufjan Stevens,622,59
Modest Mouse,222,59
Sonic Youth,1504,59
No Doubt,534,58
The Libertines,428,58
Dave Gahan,1713,58
The Police,1122,58
Cyndi Lauper,889,58
Explosions in the Sky,632,57
Bat for Lashes,423,57
Cat Power,1424,57
T.I.,330,57
Dido,71,57
Leighton Meester,2020,57
Ne-Yo,484,56
Apocalyptica,726,56
Ladytron,1062,56
Manic Street Preachers,851,56
Sia,697,56
Animal Collective,440,55
Cher,340,55
The Beach Boys,1242,55
The National,416,55
3 Doors Down,472,55
Metric,1632,54
Jesse McCartney,456,54
The Kinks,554,54
Norah Jones,1772,54
Van Halen,2347,54
Eric Clapton,728,53
Children of Bodom,923,53
Lacuna Coil,2014,52
Faith No More,1119,52
Paul McCartney,1414,52
Tegan and Sara,898,52
Tears for Fears,193,52
Justice,1398,52
