name,artistID,weight
Britney Spears,289,2393140
Depeche Mode,72,1301308
Lady Gaga,89,1291387
Christina Aguilera,292,1058405
Paramore,498,963449
Madonna,67,921198
Rihanna,288,905423
Shakira,701,688529
The Beatles,227,662116
Katy Perry,300,532545
Avril Lavigne,333,525844
Taylor Swift,344,525292
Evanescence,378,513476
Glee Cast,679,506453
Beyoncé,295,499318
U2,511,493024
Miley Cyrus,461,489065
30 Seconds to Mars,486,485532
Muse,190,485076
Pink Floyd,163,466104
Kylie Minogue,55,449292
Radiohead,154,385306
Ke$ha,466,384405
Mariah Carey,257,384307
Metallica,707,371916
Iron Maiden,917,368710
Thalía,792,350035
Duran Duran,51,348919
Coldplay,65,330757
Eminem,475,321011
Blur,203,318221
Michael Jackson,157,296882
Arctic Monkeys,207,288520
System of a Down,198,277397
Linkin Park,377,265362
Kelly Clarkson,291,253027
Pearl Jam,614,251440
Placebo,173,245878
In Flames,503,237148
All Time Low,687,215777
Amy Winehouse,903,213103
P!nk,302,207761
a-ha,187,205195
Led Zeppelin,1412,203665
Björk,1098,202178
Avenged Sevenfold,1672,200949
Justin Bieber,458,200027
The Killers,229,191979
Nirvana,234,190232
Black Eyed Peas,306,188634
Daft Punk,56,176043
Ashley Tisdale,325,166644
Oasis,533,165975
Leona Lewis,294,162288
Nine Inch Nails,233,160317
My Chemical Romance,209,159733
Green Day,230,155321
Backstreet Boys,455,153101
The Cure,159,151103
Kings of Leon,228,148452
Jennifer Lopez,299,144710
Demi Lovato,681,139378
The Pretty Reckless,704,138049
Sarah Brightman,2044,137581
Sigur Rós,418,133955
Guns N' Roses,1249,133931
David Bowie,599,133511
Black Sabbath,1369,131397
The Pussycat Dolls,349,130855
The Strokes,424,130227
Rammstein,1104,129745
Lily Allen,298,129352
Carrie Underwood,1459,126314
Hilary Duff,318,123682
Janet Jackson,285,120665
Panic! At the Disco,1246,120336
Alanis Morissette,316,117229
Red Hot Chili Peppers,220,116768
